brand,name,price,old_price,sizes
Nike,Кроссовки мужские Nike Vomero Premium White/Black-Bright Crimson-Photon Dust,39980,,"['44', '46', '47']"
Hoka,Кроссовки женские Hoka Bondi 9 Lingon Berry/Cranberry,24480,,"['37(1/3)', '38', '38(2/3)', '39(1/3)', '40', '40(2/3)', '41(1/3)', '42', '43(1/3)']"
Salomon,Кроссовки мужские Salomon Aero Glide 4 Bluing/White/Black,20980,,"['41(1/3)', '42', '43(1/3)', '44', '44(2/3)', '46', '46(2/3)']"
Salomon,Кроссовки женские Salomon Aero Glide 4 Vanilla Ice/Vanilla Ice/White,20980,,"['38', '38(2/3)', '42']"
Asics,Кроссовки мужские ASICS Gel-Nimbus 28 Cold Moss/Illuminate Green,20980,,"['40(1/2)', '41(1/2)', '42', '42(1/2)', '43(1/2)', '44', '44(1/2)', '45', '46', '46(1/2)', '47', '48', '48(1/2)']"
Saucony,Кроссовки мужские Saucony Endorphin Pro 5 White/Crimson,30980,,"['41', '42', '42(1/2)', '43', '44', '44(1/2)', '45', '46', '46(1/2)', '47', '48']"
Scarpa,Ботинки женские Scarpa Mojito Orchid Rose,18990,,"['39(1/2)', '40(1/2)', '41', '41(1/2)']"
Asolo,Ботинки женские Asolo Eldo Evo GV ML Blue Fog,22190,,"['37(1/2)', '38', '38(2/3)', '39(1/3)', '40', '40(2/3)', '41(1/3)', '42']"
Asics,Кроссовки женские ASICS Trabuco 14 Apricot Crush/Amethyst,16980,,"['38', '39', '39(1/2)', '40', '40(1/2)', '41(1/2)', '42', '42(1/2)', '43(1/2)', '44', '44(1/2)']"
The North Face,Кроссовки мужские The North Face Summit Vectiv Pro 3 Citrus Rust/Lava Red,27090,,"['42', '42(2/3)', '43(1/3)', '44(2/3)', '45(1/3)', '46', '46(2/3)', '48']"
Altra,Кроссовки женские Altra Experience Flow 3 White/Coral,19990,,"['37(1/2)', '38(1/2)', '39', '40', '40(1/2)', '41', '42', '42(1/2)']"
Scarpa,Ботинки мужские Scarpa Mojito Petrol,18990,,"['43', '43(1/2)', '44', '44(1/2)', '45', '45(1/2)', '46', '46(1/2)']"
Nike,Кроссовки женские Nike Zoomx Vaporfly Next% 4 Violet Mist/Purple Dynasty,38990,,"['38', '38(1/2)', '39', '40', '40(1/2)', '41', '42']"
Altra,Кроссовки мужские Altra Fwd Via 2 Navy/Light Blue,23190,,"['42(1/2)', '43', '44(1/2)', '47']"
Anta,Кроссовки мужские Anta C10 Pro 2 Blue/L.Fog Grey/Orange,35990,,"['41', '42', '42(1/2)', '43', '44', '45']"
Saucony,Кроссовки женские Saucony Endorphin Pro 5 White/Navy,30980,,"['37(1/2)', '38', '38(1/2)', '39', '40', '40(1/2)', '41', '42']"
Nike,Кроссовки мужские Nike Vomero Premium Alabaster/Blue Void-Citron Pulse,39980,,"['41', '43', '44', '45(1/2)', '46', '47']"
Hoka,Кроссовки мужские Hoka Speedgoat 7 Black/White,21980,,"['42', '44(2/3)', '45(1/3)', '46']"
Saucony,Кроссовки мужские Saucony Guide 19 Vizigold/Laurel,18480,,"['41', '42', '42(1/2)', '43', '44', '44(1/2)', '45', '46', '46(1/2)', '47', '48', '49']"
Asics,Кроссовки женские ASICS Gel-Nimbus 28 Pearl Pink/Morganite,20980,,"['37(1/2)', '38', '39', '39(1/2)', '40', '40(1/2)', '41(1/2)', '42']"
Hoka,Кроссовки женские Hoka Speedgoat 7 Persimmon/Neon Yuzu,21980,,"['38(2/3)', '39(1/3)', '40', '41(1/3)', '42', '42(2/3)']"
Salomon,Ботинки женские Salomon Quest 5 Gtx Nine Iron/Excalibur/Endive,28980,,"['37(1/3)', '38', '38(2/3)', '39(1/3)', '40', '41(1/3)', '42', '42(2/3)']"
Salomon,Кроссовки мужские Salomon Speedcross 6 Black/Fiery Red/Almond Milk,19480,,"['42', '42(2/3)', '43(1/3)', '44', '44(2/3)', '45(1/3)', '46', '46(2/3)', '47(1/3)']"
Mizuno,Кроссовки мужские Mizuno Wave Inspire 21 Reflex Blue C/White/GreenGecko,10794,17990.0,"['43', '44(1/2)', '45']"
Mizuno,Кроссовки Mizuno Hyperwarp Elite White/Lightning Yellow/Hyper B,26990,,"['40(1/2)', '41', '44', '44(1/2)']"
La Sportiva,Ботинки мужские La Sportiva Tx5 Low Gtx Savana/Tiger,29480,,"['42(1/2)', '42(1/2)', '43', '44(1/2)', '46']"
